,HumanGene,MouseGene,correlation
571,IKZF1,Ikzf1,0.1075738263
572,FTH1,Fth1,0.7709511866
573,STEAP3,Steap3,0.2654334628
574,SSBP3,Ssbp3,0.710056109
575,RGS10,Rgs10,0.1591155665
576,CDK1,Cdk1,0.9654916944
577,SON,Son,0.4598129693
578,AMMECR1,Ammecr1,-0.1202626807
579,UROS,Uros,0.965716262
580,TMPO,Tmpo,0.9181332152
581,PICALM,Picalm,0.8492163478
582,MINPP1,Minpp1,0.0127781808
583,RRM2,Rrm2,0.9402535566
584,TUBB4B,Tubb4b,0.8630913987
585,TUBA1B,Tuba1b,0.7046076667
586,HTRA2,Htra2,-0.2067411238
587,CCND3,Ccnd3,0.9248049019
588,TOP2A,Top2a,0.9239828164
589,ASAP1,Asap1,0.5939152246
590,ADD1,Add1,0.9409695836
591,KEL,Kel,0.9522324613
592,DDX17,Ddx17,0.5092103685
593,E2F4,E2f4,0.5595867099
594,SMC4,Smc4,0.9268194815
595,PRDX2,Prdx2,0.758102711
596,ATP1B2,Atp1b2,-0.7205102713
597,RAD21,Rad21,0.8198448707
598,EPOR,Epor,0.723433926
599,MKI67,Mki67,0.9252603383
600,HMGB2,Hmgb2,0.8534272813
601,PIGQ,Pigq,0.945845404
602,MKNK2,Mknk2,0.5030976373
603,DCK,Dck,0.7444195991
604,MFHAS1,Mfhas1,-0.0282122753
605,TMEM56,Tmem56,0.1778818347
606,KLF1,Klf1,0.6846461997
607,LBR,Lbr,0.8440392015
608,RHD,Rhd,0.9243731035
609,ZBTB7A,Zbtb7a,0.2191393867
610,AGO2,Ago2,0.8430900655
611,AQP1,Aqp1,0.8732725385
612,CPOX,Cpox,0.0923554169
613,HDGF,Hdgf,-0.489288233
614,ABCB10,Abcb10,0.8619136724
615,ALAD,Alad,0.8641387064
616,H3F3A,H3f3a,0.5906730578
617,CA1,Car1,-0.6864139009
618,MGST3,Mgst3,0.8498530772
619,CA2,Car2,0.8174234046
620,ISG20,Isg20,0.7297504101
621,PPP1R15A,Ppp1r15a,0.9011592348
622,SLC6A9,Slc6a9,0.893736641
623,RNF123,Rnf123,0.8078537878
624,FAM117A,Fam117a,0.903829098
625,UCP2,Ucp2,0.4782394458
626,RHCE,Rhd,0.8520906285
627,UROD,Urod,0.8721609417
628,TAL1,Tal1,0.3786209504
629,ERMAP,Ermap,0.7525313769
630,SPTB,Sptb,0.9240978308
631,RHAG,Rhag,0.6476796645
632,TFRC,Tfrc,0.713281109
633,TRIM10,Trim10,0.6402824403
634,HEMGN,Hemgn,0.796581463
635,E2F2,E2f2,0.8118844633
636,SPTA1,Spta1,0.811563614
637,HMBS,Hmbs,0.8066551397
638,SMOX,Smox,0.8959837679
639,ACP1,Acp1,0.5017769812
640,RAD23A,Rad23a,0.7736679909
641,EXOSC2,Exosc2,-0.7438040462
642,GRINA,Grina,0.5623275614
643,XRCC2,Xrcc2,0.9421114127
644,DDX56,Ddx56,0.9050520897
645,RAVER1,Raver1,-0.6137100705
646,PRMT1,Prmt1,0.8798103868
647,PSENEN,Psenen,-0.8151903653
648,FBXO28,Fbxo28,0.9052060045
649,CDC34,Cdc34,-0.4274582181
650,LATS1,Lats1,0.6101819601
651,MBTD1,Mbtd1,-0.4656366491
652,DDX27,Ddx27,-0.0925206229
653,PPP2R1B,Ppp2r1b,0.1199755602
654,PPIF,Ppif,0.6343594021
655,NRAS,Nras,0.6816753437
656,CENPA,Cenpa,-0.394386319
657,WHAMM,Whamm,0.9557340446
658,ANKRD13A,Ankrd13a,-0.4812034255
659,GTF2A1,Gtf2a1,0.7223625699
660,SNX3,Snx3,-0.2991255464
661,SFSWAP,Sfswap,0.608544021
662,ARF5,Arf5,-0.033421424
663,CENPV,Cenpv,0.8837457739
664,TCOF1,Tcof1,0.6703177253
665,AURKAIP1,Aurkaip1,-0.0451262283
666,BZW2,Bzw2,0.8665039432
667,EIF3C,Eif3c,-0.2708111917
668,MRPL17,Mrpl17,0.8028479592
669,POLR1C,Polr1c,0.4094837988
670,IDH3B,Idh3b,-0.3964381743
671,DNAJA2,Dnaja2,0.0319848422
672,UBE2O,Ube2o,0.990623303
673,RUVBL2,Ruvbl2,0.0821660715
674,GPATCH11,Gpatch11,0.6207244346
675,POLQ,Polq,0.87510901
