,gene,Group1,Group2,Group3,Group4,Group5,Group6,Group7,Group8,Group9,Group10,Group11,Group12,Group13,Group14,Group15,statisticsValue,P-value,Adj P-value
3145,STOML2,-0.24873,-0.19418,-0.21501,-0.17632,-0.18602,-0.04907,-0.24616,-0.23292,-0.22118,-0.17787,-0.12787,-0.17353,-0.24235,-0.24013,-0.2536,98.6043,8.77e-15,4.89e-11
3146,STRA13,-0.25757,-0.26187,-0.25223,-0.20184,-0.19372,-0.03884,-0.23659,-0.23282,-0.23112,-0.19372,-0.16545,-0.16057,-0.24924,-0.24636,-0.21682,121.16708,3.72e-19,2.19e-15
3147,STRADB,-0.24774,-0.22863,-0.24503,-0.22786,-0.19592,-0.09048,-0.0126,0.50029,-0.22706,-0.2367,-0.24385,-0.24394,-0.24805,-0.25026,-0.2164,540.74517,2.1e-106,1.5e-102
3148,STRAP,-0.30858,-0.15323,-0.19542,-0.11751,-0.14127,0.00061,-0.32292,-0.32787,-0.234,-0.12896,-0.18965,-0.13085,-0.23739,-0.18087,-0.18319,199.14129,8.23e-35,5.27e-31
3149,STRBP,-0.26284,-0.25794,-0.22678,-0.24994,-0.20604,-0.06954,-0.22098,-0.25851,-0.23673,-0.16629,-0.15659,-0.22967,-0.18684,-0.09891,-0.18593,92.38994,1.34e-13,7.29e-10
3150,STT3A,-0.28836,-0.27772,-0.22144,-0.17349,-0.262,-0.15241,-0.27292,-0.26095,-0.00027,-0.06595,0.05549,-0.01778,-0.24626,-0.24178,-0.05262,173.58897,1.29e-29,8.1e-26
3151,STT3B,-0.22102,-0.11881,-0.06533,0.03526,-0.13303,-0.21512,-0.35896,-0.45992,0.04522,0.0414,0.02212,-0.04029,-0.07479,-0.04364,-0.05618,290.05918,1.39e-53,9.39e-50
3152,STX12,-0.0774,-0.06318,-0.08818,-0.09389,-0.09487,-0.11203,0.0536,0.02179,-0.10197,-0.1029,-0.09956,-0.06049,-0.1033,-0.08891,-0.09241,75.05435,2.31e-10,1.16e-06
3153,STX17,-0.0476,-0.07507,-0.07957,-0.08183,-0.0808,-0.08498,-0.0144,0.05214,-0.0774,-0.07921,-0.09562,-0.08823,-0.08174,-0.05048,-0.053,55.41706,7.34e-07,0.0031
3154,STX5,-0.03811,-0.07293,-0.07368,-0.08883,-0.07922,-0.08601,0.04612,0.06577,-0.05653,-0.07004,-0.05806,-0.06927,-0.06725,-0.05534,-0.07582,76.8694,1.07e-10,5.46e-07
3155,STX8,0.00655,-0.06725,-0.05614,-0.07409,-0.09075,-0.08831,0.05645,0.05348,-0.06916,-0.08706,-0.06601,-0.08412,-0.07675,-0.04794,-0.07699,102.49443,1.57e-15,8.9e-12
3156,STYX,-0.03928,-0.07513,-0.096,-0.10971,-0.111,-0.10151,-0.00021,-0.02137,-0.09238,-0.11539,-0.10432,-0.11366,-0.10842,-0.08482,-0.11121,65.491,1.25e-08,5.86e-05
3157,SUB1,-0.35794,-0.23066,-0.24793,-0.1773,-0.03358,0.0596,-0.44237,-0.46033,-0.18374,-0.16579,-0.27445,-0.02244,-0.1848,-0.21135,-0.05942,442.87537,1.14e-85,7.99e-82
